state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
AK,2001,553301,413049,23618,15911,2038184,289334,0,0,16974,17446,2785.1,8.18
AL,2001,391253,344004,469962,842337,54137,534772,317019,317019,251523,252841,11697.8,9.45
AR,2001,170142,231590,381,273982,44034,353382,154356,154356,94001,94022,7323.7,10.2
AZ,2001,312,244424,293303,424023,342,514052,299966,299966,90513,92536,10673.9,12.82
CA,2001,408873,2513856,0,67839,1511845,3585715,346911,346911,607988,615198,73085.8,13
CO,2001,873450,464062,741186,400028,95816,453248,0,0,23726,30471,9970.1,10.72
CT,2001,0,149344,0,39991,0,418855,161112,161112,29813,29919,7949.7,13.49
DC,2001,0,30577,0,741,0,33414,0,0,866,866,1519.1,15.21
DE,2001,0,51817,0,38335,0,138478,0,0,1324,1325,1958.6,11.24
FL,2001,7855,569757,0,725890,25671,1941855,329825,329825,158039,158138,31485.3,12.62
GA,2001,0,362643,0,772021,0,1011020,351739,351739,192060,192068,19424.2,10.23
HI,2001,0,134,0,17774,0,239817,0,0,12389,12395,2779.2,15.34
IA,2001,0,193445,0,443921,0,381227,40234,40234,105614,76705,8185,10.21
ID,2001,0,81804,0,11395,0,155395,0,0,105045,104604,3183.1,9.78
IL,2001,239,958425,772290,983729,58534,1230341,964500,964500,113176,100875,29125.5,11.1
IN,2001,1090,505274,813161,1569235,11728,801895,0,0,49614,53158,16979.8,8.82
KS,2001,544550,273862,3697,354647,196864,377245,108050,108050,13084,10929,7051.1,10.71
KY,2001,86962,216705,3326940,1013055,17220,627963,0,0,53193,53539,10503.9,9.3
LA,2001,1791678,1347228,50817,239990,606738,1965937,181041,181041,136086,136129,20720.1,7.93
MA,2001,0,364097,0,109014,0,739924,53719,53719,47997,48003,15797.9,14.3
MD,2001,33,184783,111689,318851,0,566433,142612,142612,33247,33276,11221.2,11.86
ME,2001,0,101190,0,7875,0,227875,0,0,146146,146148,3573.5,10.18
MI,2001,288366,924496,0,789703,42775,980720,278941,278941,94158,99025,21789.6,9.94
MN,2001,0,344882,0,353305,0,652093,123113,123113,108950,108048,12421,10.42
MO,2001,0,288586,8022,716378,528,722516,87557,87557,32926,33141,13806.8,11.04
MS,2001,135437,340904,6804,198275,113262,479661,103635,103635,56085,56103,7569.8,10.37
MT,2001,83918,66483,708173,184401,92336,156398,0,0,80568,80654,2472.1,10.66
NC,2001,0,215600,0,756311,0,900456,394485,394485,127348,131872,18889.1,11.67
ND,2001,68363,57334,398430,420001,183808,137162,0,0,20662,19505,2169.8,7.28
NE,2001,1229,124051,0,226691,16948,215468,91127,91127,70152,43413,4454.4,10.36
NH,2001,0,24757,0,40125,0,166694,90778,90778,30186,30187,3061.5,13.62
NJ,2001,0,573040,0,112207,0,1193427,318190,318190,29052,30089,19987.8,11.13
NM,2001,1813050,259626,554846,297096,394406,238316,0,0,8027,7911,4229.7,11.39
NV,2001,7,181256,0,188572,3318,247451,0,0,43411,46005,5234.6,12.97
NY,2001,28593,1204885,0,306993,963,1625732,421845,421845,350747,351194,39674.6,13.71
OH,2001,104433,836825,598946,1362828,35096,1257823,161488,161488,51101,68387,29052.9,10.9
OK,2001,1801655,505220,42810,376112,397480,581673,0,0,48390,48426,9916.9,10.46
OR,2001,1139,235634,0,43365,0,352498,0,0,349949,351491,7386.3,10.97
PA,2001,139028,668960,1929615,1392203,9396,1431355,769971,769971,95728,97228,29847.8,11.26
RI,2001,0,98571,0,50,0,99767,0,0,3898,3899,2307.2,14.05
SC,2001,0,147167,0,414459,0,481022,520792,520792,70574,70578,9937.2,10.4
SD,2001,1099,37035,0,44372,7279,110286,0,0,41313,41085,1925.8,11.05
TN,2001,2074,265461,84824,687352,2036,710393,298424,298424,142349,138865,13937,9.99
TX,2001,5971835,4382935,578696,1492977,2460923,5773604,398535,398535,96534,102165,74136.9,8.86
