state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,non_renewable_gen,non_renewable_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu),all_generation,all_consumption
AK,2001,553301,413049,23618,15911,2038184,289334,0,0,2615103,718294,16974,17446,2785.1,8.18,2632077,735740
AL,2001,391253,344004,469962,842337,54137,534772,317019,317019,1232371,2038132,251523,252841,11697.8,9.45,1483894,2290973
AR,2001,170142,231590,381,273982,44034,353382,154356,154356,368913,1013310,94001,94022,7323.7,10.2,462914,1107332
AZ,2001,312,244424,293303,424023,342,514052,299966,299966,593923,1482465,90513,92536,10673.9,12.82,684436,1575001
CA,2001,408873,2513856,0,67839,1511845,3585715,346911,346911,2267629,6514321,607988,615198,73085.8,13,2875617,7129519
CO,2001,873450,464062,741186,400028,95816,453248,0,0,1710452,1317338,23726,30471,9970.1,10.72,1734178,1347809
CT,2001,0,149344,0,39991,0,418855,161112,161112,161112,769302,29813,29919,7949.7,13.49,190925,799221
DC,2001,0,30577,0,741,0,33414,0,0,0,64732,866,866,1519.1,15.21,866,65598
DE,2001,0,51817,0,38335,0,138478,0,0,0,228630,1324,1325,1958.6,11.24,1324,229955
FL,2001,7855,569757,0,725890,25671,1941855,329825,329825,363351,3567327,158039,158138,31485.3,12.62,521390,3725465
GA,2001,0,362643,0,772021,0,1011020,351739,351739,351739,2497423,192060,192068,19424.2,10.23,543799,2689491
HI,2001,0,134,0,17774,0,239817,0,0,0,257725,12389,12395,2779.2,15.34,12389,270120
IA,2001,0,193445,0,443921,0,381227,40234,40234,40234,1058827,105614,76705,8185,10.21,145848,1135532
ID,2001,0,81804,0,11395,0,155395,0,0,0,248594,105045,104604,3183.1,9.78,105045,353198
IL,2001,239,958425,772290,983729,58534,1230341,964500,964500,1795563,4136995,113176,100875,29125.5,11.1,1908739,4237870
IN,2001,1090,505274,813161,1569235,11728,801895,0,0,825979,2876404,49614,53158,16979.8,8.82,875593,2929562
KS,2001,544550,273862,3697,354647,196864,377245,108050,108050,853161,1113804,13084,10929,7051.1,10.71,866245,1124733
KY,2001,86962,216705,3326940,1013055,17220,627963,0,0,3431122,1857723,53193,53539,10503.9,9.3,3484315,1911262
LA,2001,1791678,1347228,50817,239990,606738,1965937,181041,181041,2630274,3734196,136086,136129,20720.1,7.93,2766360,3870325
MA,2001,0,364097,0,109014,0,739924,53719,53719,53719,1266754,47997,48003,15797.9,14.3,101716,1314757
MD,2001,33,184783,111689,318851,0,566433,142612,142612,254334,1212679,33247,33276,11221.2,11.86,287581,1245955
ME,2001,0,101190,0,7875,0,227875,0,0,0,336940,146146,146148,3573.5,10.18,146146,483088
MI,2001,288366,924496,0,789703,42775,980720,278941,278941,610082,2973860,94158,99025,21789.6,9.94,704240,3072885
