index,state,year,gas_consumption (BBtu),coal_consumption (BBtu),renewable_consumption (BBtu),petroleum_consumption (BBtu),nuclear_consumption (BBtu),expenditures (M dollars),price (dollars per MBtu)
0,AK,2001,413049.0,15911.0,17446.0,289334.0,0.0,2785.1,8.18
1,AL,2001,344004.0,842337.0,252841.0,534772.0,317019.0,11697.8,9.45
2,AR,2001,231590.0,273982.0,94022.0,353382.0,154356.0,7323.7,10.2
3,AZ,2001,244424.0,424023.0,92536.0,514052.0,299966.0,10673.9,12.82
4,CA,2001,2513856.0,67839.0,615198.0,3585715.0,346911.0,73085.8,13.0
5,CO,2001,464062.0,400028.0,30471.0,453248.0,0.0,9970.1,10.72
6,CT,2001,149344.0,39991.0,29919.0,418855.0,161112.0,7949.7,13.49
7,DC,2001,30577.0,741.0,866.0,33414.0,0.0,1519.1,15.21
8,DE,2001,51817.0,38335.0,1325.0,138478.0,0.0,1958.6,11.24
9,FL,2001,569757.0,725890.0,158138.0,1941855.0,329825.0,31485.3,12.62
10,GA,2001,362643.0,772021.0,192068.0,1011020.0,351739.0,19424.2,10.23
11,HI,2001,134.0,17774.0,12395.0,239817.0,0.0,2779.2,15.34
12,IA,2001,193445.0,443921.0,76705.0,381227.0,40234.0,8185.0,10.21
13,ID,2001,81804.0,11395.0,104604.0,155395.0,0.0,3183.1,9.78
14,IL,2001,958425.0,983729.0,100875.0,1230341.0,964500.0,29125.5,11.1
15,IN,2001,505274.0,1569235.0,53158.0,801895.0,0.0,16979.8,8.82
16,KS,2001,273862.0,354647.0,10929.0,377245.0,108050.0,7051.1,10.71
17,KY,2001,216705.0,1013055.0,53539.0,627963.0,0.0,10503.9,9.3
18,LA,2001,1347228.0,239990.0,136129.0,1965937.0,181041.0,20720.1,7.93
19,MA,2001,364097.0,109014.0,48003.0,739924.0,53719.0,15797.9,14.3
20,MD,2001,184783.0,318851.0,33276.0,566433.0,142612.0,11221.2,11.86
21,ME,2001,101190.0,7875.0,146148.0,227875.0,0.0,3573.5,10.18
22,MI,2001,924496.0,789703.0,99025.0,980720.0,278941.0,21789.6,9.94
23,MN,2001,344882.0,353305.0,108048.0,652093.0,123113.0,12421.0,10.42
24,MO,2001,288586.0,716378.0,33141.0,722516.0,87557.0,13806.8,11.04
25,MS,2001,340904.0,198275.0,56103.0,479661.0,103635.0,7569.8,10.37
26,MT,2001,66483.0,184401.0,80654.0,156398.0,0.0,2472.1,10.66
27,NC,2001,215600.0,756311.0,131872.0,900456.0,394485.0,18889.1,11.67
28,ND,2001,57334.0,420001.0,19505.0,137162.0,0.0,2169.8,7.28
29,NE,2001,124051.0,226691.0,43413.0,215468.0,91127.0,4454.4,10.36
30,NH,2001,24757.0,40125.0,30187.0,166694.0,90778.0,3061.5,13.62
31,NJ,2001,573040.0,112207.0,30089.0,1193427.0,318190.0,19987.8,11.13
32,NM,2001,259626.0,297096.0,7911.0,238316.0,0.0,4229.7,11.39
33,NV,2001,181256.0,188572.0,46005.0,247451.0,0.0,5234.6,12.97
34,NY,2001,1204885.0,306993.0,351194.0,1625732.0,421845.0,39674.6,13.71
35,OH,2001,836825.0,1362828.0,68387.0,1257823.0,161488.0,29052.9,10.9
